Departamento;Estudiantes;Nota_promedio;Mediana;Desviacion_estandar;Minimo;Maximo;Aprobados;Desaprobados;Tasa_aprobacion
Madre de Dios;5;14.92;14.2;3.23;11.2;20;5;0;100
Ucayali;9;14.97;14.6;2.78;10.4;19.1;8;1;88.89
Loreto;7;12.1;11.5;3;7.2;16;6;1;85.71
Callao;6;13.78;14.35;2.77;10;17;5;1;83.33
Cusco;15;13.55;14.3;3.26;7.4;20;12;3;80
Pasco;8;13.52;14.45;3.61;7.3;18.5;6;2;75
Áncash;7;14.47;14.2;3.95;9.3;20;5;2;71.43
Arequipa;10;12;12.85;4.71;2.2;17.5;7;3;70
Lima;40;12.52;12.95;3.94;5.1;19.8;25;15;62.5
La Libertad;8;13.02;13.4;4.6;6.9;20;5;3;62.5
Tacna;8;11.88;11.9;3.01;7.2;15.3;5;3;62.5
Tumbes;5;13.7;11.6;4.2;9.7;19;3;2;60
Lambayeque;10;11.91;12.1;3.33;6.6;16.8;6;4;60
Puno;7;12.23;11.4;3.08;9.1;17.3;4;3;57.14
Junín;9;12.39;12.4;3.24;8.9;20;5;4;55.56
San Martín;9;12.26;11.8;3.7;8.2;17.2;5;4;55.56
Piura;15;11.65;12.7;4.04;5.4;18.6;8;7;53.33
